고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
2989,일학습병행자격,L3,여가레크리에이션지도,,,L3
2990,일학습병행자격,L5,여행상품기획,,,L5
2991,일학습병행자격,L4,여행상품상담,,,L4
2992,일학습병행자격,L3,여행안내,,,L3
2993,일학습병행자격,L4,역시설물유지보수,,,L4
2994,일학습병행자격,L2,열간압연,,,L2
2995,일학습병행자격,L5,열차운용DIA관리,,,L5
2996,일학습병행자격,L3,염생산관리,,,L3
2997,일학습병행자격,L3,영업,,,L3
2998,일학습병행자격,L5,영업,,,L5
2999,일학습병행자격,L4,영유아보육,,,L4
3000,일학습병행자격,L5,영화제작,,,L5
3001,일학습병행자격,L3,온돌문화재보수,,,L3
3002,일학습병행자격,L3,웨딩이벤트매니저,,,L3
3003,일학습병행자격,L3,웨딩플래너,,,L3
3004,일학습병행자격,L3,위험물안전관리,,,L3
3005,일학습병행자격,L5,위험물안전관리,,,L5
3006,일학습병행자격,L2,유리재료제조,,,L2
3007,일학습병행자격,L4,유리재료제조,,,L4
3008,일학습병행자격,L3,유선통신운용,,,L3
3009,일학습병행자격,L3,유원시설운영관리,,,L3
3010,일학습병행자격,L5,은행금융자산관리,,,L5
3011,일학습병행자격,L3,음악제작,,,L3
3012,과정평가형자격,기사,식육가공기사,,,
3013,일학습병행자격,L4,열처리,,,L4
3014,일학습병행자격,L4,탄소제품제조,,,L4
3015,일학습병행자격,L3,바이오화학제품제조,,,L3
3016,일학습병행자격,L2,곡류가공,,,L2
3017,일학습병행자격,L3,수산식품저장·유통,,,L3
3018,일학습병행자격,L2,제과,,,L2
3019,일학습병행자격,L3,귀금속가공,,,L3
3020,일학습병행자격,L5,수질관리,,,L5
3021,일학습병행자격,L5,생태복원관리,,,L5
3022,일학습병행자격,L5,환경컨설턴트,,,L5
3023,일학습병행자격,L3,광산환경관리,,,L3
3024,일학습병행자격,L5,광산환경관리,,,L5
3025,일학습병행자격,L5,바이오에너지생산기술,,,L5
3026,일학습병행자격,L3,단조압출인발,단조,,L3
3027,일학습병행자격,L2,도금,,,L2
3028,일학습병행자격,L2,수동용접,가스텅스텐아크용접,,L2
3029,일학습병행자격,L5,의료기관의료기기안전관리,,,L5
3030,일학습병행자격,L4,의료기관행정관리,,,L4
3031,일학습병행자격,L3,의약품제조,,,L3
3032,일학습병행자격,L5,의약품제조,,,L5
3033,일학습병행자격,L3,이동식크레인정비,,,L3
3034,일학습병행자격,L4,이러닝과정운영,,,L4
3035,일학습병행자격,L3,이러닝관리,,,L3
3036,일학습병행자격,L4,이러닝콘텐츠개발,,,L4
3037,일학습병행자격,L5,이러닝콘텐츠개발,,,L5
3038,일학습병행자격,L2,이용,,,L2
3039,일학습병행자격,L3,이용,,,L3
3040,일학습병행자격,L5,이용,,,L5
3041,일학습병행자격,L5,인보험계약심사,언더라이팅,,L5
3042,일학습병행자격,L4,일식조리,,,L4
3043,일학습병행자격,L2,임산물생산관리,,,L2
3044,일학습병행자격,L4,임산물생산관리,,,L4
3045,일학습병행자격,L4,임업종묘,,,L4
3046,일학습병행자격,L2,자동용접,서브머지드아크용접,,L2
3047,일학습병행자격,L4,자동용접,서브머지드아크용접,,L4
3048,일학습병행자격,L5,자동제어기기설계,,,L5
3049,일학습병행자격,L3,자동제어기기제작,,,L3
3050,일학습병행자격,L5,자동차시험평가,,,L5
3051,일학습병행자격,L2,자동차차체정비,,,L2
3052,일학습병행자격,L5,자산운용,,,L5
3053,일학습병행자격,L3,장례시설관리,,,L3
3054,일학습병행자격,L3,장례지도,,,L3
3055,일학습병행자격,L5,재난방재조종,,,L5
3056,일학습병행자격,L5,재무기획관리,,,L5
3057,일학습병행자격,L5,재물보험계약심사,언더라이팅,,L5
3058,일학습병행자격,L5,재물손해사정,,,L5
3059,일학습병행자격,L5,전기감리,,,L5
3060,일학습병행자격,L2,전기기기제작,,,L2
3061,일학습병행자격,L3,전기기기제작,,,L3
3062,과정평가형자격,기능사,불도저운전기능사,,,
3063,일학습병행자격,L3,동력기계설치·정비,,,L3
3064,일학습병행자격,L5,화학물질분석,,,L5
3065,일학습병행자격,L2,축산식품가공,,,L2
3066,과정평가형자격,기능사,기중기운전기능사,,,
3067,일학습병행자격,L2,음료제조가공,,,L2
3068,일학습병행자격,L3,농산식품저장·유통,,,L3
3069,일학습병행자격,L2,제빵,,,L2
3070,일학습병행자격,L3,가구제작,,,L3
3071,일학습병행자격,L5,기후대기관리,,,L5
3072,일학습병행자격,L5,위해성관리,,,L5
3073,일학습병행자격,L3,생태복원관리,,,L3
3074,일학습병행자격,L3,전기설계,,,L3
3075,일학습병행자격,L5,전기설계,,,L5
3076,일학습병행자격,L5,전기설비시공,,,L5
3077,일학습병행자격,L2,전기시공,,,L2
3078,일학습병행자격,L3,전기시공,,,L3
3079,일학습병행자격,L5,전력계통감리,,,L5
3080,일학습병행자격,L5,전력계통설계,,,L5
3081,일학습병행자격,L2,전산응용기계설계,,,L2
3082,일학습병행자격,L5,전자기기기구개발,,,L5
3083,일학습병행자격,L4,전자기기기획,,,L4
3084,일학습병행자격,L5,전자기기기획,,,L5
3085,일학습병행자격,L4,전자기기생산,,,L4
3086,일학습병행자격,L4,전자기기서비스,,,L4
3087,일학습병행자격,L5,전자기기하드웨어개발,,,L5
3088,일학습병행자격,L5,전직지원,,,L5
3089,일학습병행자격,L2,정보통신선로시공,,,L2
3090,일학습병행자격,L5,정보통신설계,,,L5
3091,일학습병행자격,L4,정비기지시설물유지보수,,,L4
3092,일학습병행자격,L4,정수장운영관리,,,L4
3093,일학습병행자격,L3,젖소사육,,,L3
