고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
66,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,보존처리공,,,,
67,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,식물보호공,,,,
68,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,실측설계사보,,,,
69,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,박제및표본제작공,,,,
70,S,국가전문자격,감정평가사,감정평가사,,,,,
71,S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,훈증공,,,,
72,T,국가기술자격,기능사,도자공예기능사,,,,,
73,T,국가기술자격,기능사,중식조리기능사,,,,,
74,T,국가기술자격,기능사,복어조리기능사,,,,,
75,T,국가기술자격,기능사,조주기능사,,,,,
76,T,국가기술자격,기능사,피아노조율기능사,,,,,
77,T,국가기술자격,기능사,이용사,,,,,
78,T,국가기술자격,기능사,한식조리기능사,,,,,
79,T,국가기술자격,기능사,양식조리기능사,,,,,
80,T,국가기술자격,기능사,일식조리기능사,,,,,
81,T,국가기술자격,기능사,신발제조기능사,,,,,
82,T,국가기술자격,기능사,환경기능사,,,,,
83,T,국가기술자격,기능사,콘크리트기능사,,,,,
84,T,국가기술자격,기능사,자기비파괴검사기능사,,,,,
85,T,국가기술자격,기능사,침투비파괴검사기능사,,,,,
86,T,국가기술자격,기능사,한복기능사,,,,,
87,T,국가기술자격,기능사,정보기기운용기능사,,,,,
88,T,국가기술자격,기능사,선체설계기능사,,,,,
89,T,국가기술자격,기능사,선체건조기능사,,,,,
90,T,국가기술자격,기능사,염색기능사,침염,,,,
91,T,국가기술자격,기능사,정보처리기능사,,,,,
92,T,국가기술자격,기능사,염색기능사,날염,,,,
93,T,국가기술자격,기능사,석공기능사,,,,,
94,T,국가기술자격,기능사,철도토목기능사,,,,,
95,T,국가기술자격,기능사,전자계산기기능사,,,,,
96,T,국가기술자격,기능사,화학분석기능사,,,,,
97,T,국가기술자격,기능사,도배기능사,,,,,
98,T,국가기술자격,기능사,전자기능사,,,,,
99,T,국가기술자격,기능사,타일기능사,,,,,
100,T,국가기술자격,기능사,건축도장기능사,,,,,
101,T,국가기술자격,기능사,석공예기능사,,,,,
102,T,국가기술자격,기능사,유리시공기능사,,,,,
103,T,국가기술자격,기능사,실내건축기능사,,,,,
104,T,국가기술자격,기능사,온수온돌기능사,,,,,
105,T,국가기술자격,기능사,거푸집기능사,,,,,
106,T,국가기술자격,기능사,비계기능사,,,,,
107,T,국가기술자격,기능사,귀금속가공기능사,,,,,
108,T,국가기술자격,기능사,방사선비파괴검사기능사,,,,,
109,T,국가기술자격,기능사,항공사진기능사,,,,,
110,T,국가기술자격,기능사,지도제작기능사,,,,,
111,T,국가기술자격,기능사,초음파비파괴검사기능사,,,,,
112,T,국가기술자격,기능사,건설재료시험기능사,,,,,
113,T,국가기술자격,기능사,가구제작기능사,,,,,
114,T,국가기술자격,기능사,금속도장기능사,,,,,
115,T,국가기술자격,기능사,제과기능사,,,,,
116,T,국가기술자격,기능사,제빵기능사,,,,,
117,T,국가기술자격,기능사,보석가공기능사,,,,,
118,T,국가기술자격,기능사,조경기능사,,,,,
119,T,국가기술자격,기능사,도화기능사,,,,,
120,T,국가기술자격,기능사,보석감정사,,,,,
121,T,국가기술자격,기능사,지게차운전기능사,,,,,
122,T,국가기술자격,기능사,롤러운전기능사,,,,,
123,T,국가기술자격,기능사,양화장치운전기능사,,,,,
124,T,국가기술자격,기능사,승강기기능사,,,,,
125,T,국가기술자격,기능사,세탁기능사,,,,,
126,T,국가기술자격,기능사,화약취급기능사,,,,,
127,T,국가기술자격,기능사,수산양식기능사,,,,,
128,T,국가기술자격,기능사,로더운전기능사,,,,,
129,T,국가기술자격,기능사,목공예기능사,,,,,
130,T,국가기술자격,기능사,축산기능사,,,,,
131,T,국가기술자격,기능사,식육처리기능사,,,,,
132,T,국가기술자격,기능사,버섯종균기능사,,,,,
133,T,국가기술자격,기능사,기중기운전기능사,,,,,
134,T,국가기술자격,기능사,굴착기운전기능사,,,,,
135,T,국가기술자격,기능사,불도저운전기능사,,,,,
136,T,국가기술자격,기능사,산림기능사,,,,,
137,T,국가기술자격,기능사,잠수기능사,,,,,
138,T,국가기술자격,기능사,종자기능사,,,,,
139,T,국가기술자격,기능사,지적기능사,,,,,
140,T,국가기술자격,기능사,임업종묘기능사,,,,,
141,T,국가기술자격,기능사,철근기능사,,,,,
142,T,국가기술자격,기능사,사진기능사,,,,,
143,T,국가기술자격,기능사,컴퓨터그래픽기능사,,,,,
144,T,국가기술자격,기능사,기계가공조립기능사,,,,,
145,T,국가기술자격,기능사,공조냉동기계기능사,,,,,
146,T,국가기술자격,기능사,가스기능사,,,,,
147,T,국가기술자격,기사,직업상담사2급,,,,,
148,T,국가기술자격,기사,사회조사분석사1급,,,,,
149,T,국가기술자격,기사,사회조사분석사2급,,,,,
150,T,국가기술자격,기능사,건축목공기능사,,,,,
151,T,국가기술자격,기능사,금속재창호기능사,,,,,
152,T,국가기술자격,기능사,미장기능사,,,,,
153,T,국가기술자격,기능사,열처리기능사,,,,,
154,T,국가기술자격,기능사,방수기능사,,,,,
155,T,국가기술자격,기능사,전산응용건축제도기능사,,,,,
156,T,국가기술자격,기능사,조적기능사,,,,,
157,T,국가기술자격,기사,양식조리산업기사,,,,,
158,T,국가기술자격,기사,일식조리산업기사,,,,,
159,T,국가기술자격,기사,중식조리산업기사,,,,,
160,T,국가기술자격,기사,복어조리산업기사,,,,,
161,T,국가기술자격,기능사,측량기능사,,,,,
162,T,국가기술자격,기능사,축로기능사,,,,,
163,T,국가기술자격,기능사,농기계정비기능사,,,,,
164,T,국가기술자격,기능사,자동차정비기능사,,,,,
165,T,국가기술자격,기능사,주조기능사,,,,,
166,T,국가기술자격,기능사,자동차차체수리기능사,,,,,
167,T,국가기술자격,기능사,금속재료시험기능사,,,,,
168,T,국가기술자격,기능사,제선기능사,,,,,
169,T,국가기술자격,기능사,전산응용기계제도기능사,,,,,
170,T,국가기술자격,기능사,정밀측정기능사,,,,,
171,T,국가기술자격,기능사,농기계운전기능사,,,,,
172,T,국가기술자격,기능장,건축일반시공기능장,,,,,
173,T,국가기술자격,기능장,주조기능장,,,,,
174,T,국가기술자격,기능장,표면처리기능장,,,,,
175,T,국가기술자격,기능장,자동차정비기능장,,,,,
176,T,국가기술자격,기능장,건설기계정비기능장,,,,,
177,T,국가기술자격,기사,교통산업기사,,,,,
178,T,국가기술자격,기사,귀금속가공산업기사,,,,,
179,T,국가기술자격,기사,어로산업기사,,,,,
180,T,국가기술자격,기능장,철도차량정비기능장,,,,,
181,T,국가기술자격,기능장,금형기능장,,,,,
182,T,국가기술자격,기능장,배관기능장,,,,,
183,T,국가기술자격,기사,산업위생관리산업기사,,,,,
184,T,국가기술자격,기능장,판금제관기능장,,,,,
185,T,국가기술자격,기능장,용접기능장,,,,,
186,T,국가기술자격,기사,폐기물처리산업기사,,,,,
187,T,국가기술자격,기사,포장산업기사,,,,,
188,T,국가기술자격,기사,제품디자인산업기사,,,,,
189,T,국가기술자격,기사,공조냉동기계산업기사,,,,,
190,T,국가기술자격,기사,화약류제조산업기사,,,,,
191,T,국가기술자격,기사,실내건축산업기사,,,,,
192,T,국가기술자격,기사,정보처리산업기사,,,,,
193,T,국가기술자격,기사,건설재료시험산업기사,,,,,
194,T,국가기술자격,기사,방사선비파괴검사산업기사,,,,,
195,T,국가기술자격,기사,한식조리산업기사,,,,,
196,T,국가기술자격,기사,패션디자인산업기사,,,,,
197,T,국가기술자격,기사,섬유디자인산업기사,,,,,
198,T,국가기술자격,기능사,전산응용토목제도기능사,,,,,
199,T,국가기술자격,기능장,조리기능장,,,,,
200,T,국가기술자격,기능장,제과기능장,,,,,
201,T,국가기술자격,기능장,미용장,,,,,
202,T,국가기술자격,기능장,이용장,,,,,
203,T,국가기술자격,기능장,귀금속가공기능장,,,,,
204,T,국가기술자격,기능장,건축목재시공기능장,,,,,
205,T,국가기술자격,기사,초음파비파괴검사산업기사,,,,,
206,T,국가기술자격,기사,침투비파괴검사산업기사,,,,,
207,T,국가기술자격,기능장,기계가공기능장,,,,,
208,T,국가기술자격,기능장,가스기능장,,,,,
209,T,국가기술자격,기능장,전자기능장,,,,,
210,T,국가기술자격,기사,소방설비산업기사,전기분야,,,,
211,T,국가기술자격,기사,소음진동산업기사,,,,,
212,T,국가기술자격,기능장,금속재료기능장,,,,,
213,T,국가기술자격,기능장,제선기능장,,,,,
214,T,국가기술자격,기능장,제강기능장,,,,,
215,T,국가기술자격,기능장,압연기능장,,,,,
216,T,국가기술자격,기사,피아노조율산업기사,,,,,
217,T,국가기술자격,기사,소방설비산업기사,기계분야,,,,
